日期,新增确诊,确诊总数,治愈数,死亡数
03.21,0,6,0,0
03.22,8,14,0,0
03.23,3,17,0,0
03.24,0,17,0,0
03.25,1,18,0,0
03.26,0,18,0,0
03.27,6,24,0,0
03.28,2,26,0,0
03.29,0,26,0,0
03.30,7,33,0,0
03.31,1,34,0,0
04.01,0,34,0,0
04.02,11,45,0,0
04.03,1,46,0,0
04.04,5,51,0,0
04.05,1,52,0,0
04.06,4,56,6,1
04.07,4,60,6,2
04.08,3,63,6,3
04.09,0,63,8,3
04.10,3,66,11,4
04.11,1,67,11,4
04.12,1,68,11,4
04.13,3,71,11,4
04.14,1,72,13,4
04.15,1,73,15,5
04.16,2,75,15,5
04.17,0,75,15,5
04.18,0,75,15,5
04.19,0,75,17,5
04.20,0,75,19,5
04.21,0,75,23,5
04.22,0,75,25,5
04.23,1,76,27,6
04.24,0,76,30,6
04.25,1,77,31,6
04.26,2,79,32,6
04.27,0,79,39,6
04.28,1,80,39,6
04.29,0,80,39,6
04.30,0,80,39,7
05.01,1,81,39,7
05.02,0,81,39,7
05.03,0,81,44,7
05.04,1,82,44,7
05.05,0,82,46,7
05.06,0,82,47,7
05.07,0,82,47,7
05.08,0,82,53,7
05.09,1,83,53,7
05.10,1,84,57,7
05.11,0,84,57,7
05.12,0,84,57,7
05.13,1,85,57,7
05.14,0,85,65,7
05.15,0,85,65,7
05.16,0,85,65,7
05.17,1,86,67,7
05.18,2,88,68,7
05.19,0,88,68,7
05.20,2,90,68,7
05.21,0,90,70,7
05.22,0,90,70,7
05.23,0,90,70,7
05.24,2,92,70,7
05.25,0,92,70,7
05.26,0,92,71,7
05.27,0,92,71,7
05.28,0,92,76,7
05.29,0,92,76,7
05.30,0,92,76,7
05.31,0,92,76,7
06.01,0,92,76,7
06.02,0,92,76,7
06.03,0,92,76,7
06.04,0,92,81,7
06.05,0,92,81,7
06.06,0,92,81,7
06.07,0,92,81,7
06.08,0,92,81,7
06.09,0,92,81,7
06.10,0,92,81,7
06.11,4,96,83,7
06.12,0,96,83,7
06.13,0,96,83,7
06.14,0,96,83,7
06.15,0,96,83,7
06.16,1,97,83,7
06.17,0,97,83,7
06.18,0,97,83,7
