日期,新增确诊,确诊总数,治愈数,死亡数
03.19,3,3,0,0
03.20,4,7,0,0
03.21,7,14,0,1
03.22,4,18,0,1
03.23,10,28,0,2
03.24,8,36,0,2
03.25,12,48,0,2
03.26,33,81,0,2
03.27,13,94,0,2
03.28,8,102,0,2
03.29,5,107,0,2
03.30,3,110,0,3
03.31,33,143,0,4
04.01,11,154,0,5
04.02,7,161,0,7
04.03,25,186,0,7
04.04,10,196,0,7
04.05,31,227,7,7
04.06,0,227,7,7
04.07,41,268,8,7
04.08,5,273,19,7
04.09,41,314,19,7
04.10,0,314,23,9
04.11,4,318,23,9
04.12,6,324,42,9
04.13,0,324,42,9
04.14,0,324,42,9
04.15,0,324,65,9
04.16,0,324,65,9
04.17,0,324,108,9
04.18,1,325,180,9
04.19,3,328,208,9
04.20,0,328,208,9
04.21,0,328,224,9
04.22,1,329,261,9
04.23,2,331,266,9
04.24,0,331,266,9
04.25,0,331,295,9
04.26,0,331,295,9
04.27,3,334,302,9
04.28,0,334,303,10
04.29,0,334,306,10
04.30,-2,332,310,10
05.01,0,332,310,10
05.02,0,332,314,10
05.03,0,332,314,10
05.04,0,332,316,10
05.05,0,332,319,10
05.06,0,332,320,10
05.07,0,332,320,10
05.08,0,332,320,10
05.09,0,332,320,10
05.10,0,332,320,10
05.11,0,332,322,10
05.12,0,332,322,10
05.13,0,332,322,10
05.14,0,332,322,10
05.15,0,332,322,10
05.16,0,332,322,10
05.17,0,332,322,10
05.18,0,332,322,10
05.19,0,332,322,10
05.20,0,332,322,10
05.21,0,332,322,10
05.22,0,332,322,10
05.23,0,332,322,10
05.24,0,332,322,10
05.25,2,334,322,10
05.26,0,334,322,10
05.27,0,334,322,10
05.28,0,334,322,10
05.29,1,335,322,10
05.30,0,335,322,10
05.31,0,335,322,10
06.01,0,335,322,10
06.02,0,335,322,10
06.03,0,335,322,10
06.04,0,335,322,10
06.05,2,337,322,10
06.06,0,337,324,10
06.07,0,337,324,10
06.08,0,337,324,10
06.09,0,337,324,10
06.10,0,337,324,10
06.11,0,337,325,10
06.12,0,337,325,10
06.13,0,337,325,10
06.14,0,337,325,10
06.15,0,337,325,10
06.16,0,337,325,10
06.17,0,337,325,10
06.18,0,337,325,10
