日期,新增确诊,确诊总数,治愈数,死亡数
03.03,1,1,0,0
03.04,0,1,0,0
03.05,1,2,0,0
03.06,3,5,0,0
03.07,2,7,0,0
03.08,4,11,0,0
03.09,4,15,0,0
03.10,5,20,1,0
03.11,1,21,1,0
03.12,24,45,1,0
03.13,17,62,1,0
03.14,24,86,1,0
03.15,17,103,1,0
03.16,15,118,3,0
03.17,15,133,6,0
03.18,38,171,6,0
03.19,67,238,6,0
03.20,36,274,8,0
03.21,118,392,16,0
03.22,119,511,17,0
03.23,51,562,19,0
03.24,205,767,28,1
03.25,133,900,29,2
03.26,112,1012,29,3
03.27,92,1104,29,3
03.28,99,1203,37,4
03.29,96,1299,66,8
03.30,154,1453,115,8
03.31,110,1563,165,10
04.01,157,1720,264,16
04.02,165,1885,328,21
04.03,154,2039,351,25
04.04,140,2179,420,29
04.05,206,2385,488,34
04.06,138,2523,551,38
04.07,272,2795,615,41
04.08,137,2932,615,41
04.09,355,3287,666,44
04.10,364,3651,685,47
04.11,382,4033,720,52
04.12,429,4462,761,59
04.13,472,4934,805,65
04.14,435,5369,889,73
04.15,493,5862,931,79
04.16,518,6380,990,83
04.17,762,7142,1049,87
04.18,1132,8274,1329,92
04.19,1088,9362,1398,97
04.20,1122,10484,1490,103
04.21,1147,11631,1640,109
04.22,1141,12772,1812,114
04.23,1158,13930,1925,121
04.24,1172,15102,2049,127
04.25,1197,16299,2215,136
04.26,1223,17522,2357,139
04.27,1289,18811,2531,144
04.28,1266,20077,2784,152
04.29,1325,21402,2953,157
04.30,1351,22753,3163,162
05.01,0,22753,3163,162
05.02,2706,25459,3765,176
05.03,0,25459,3765,176
05.04,3197,28656,4476,191
05.05,1595,30251,5431,200
05.06,1687,31938,6783,209
05.07,1793,33731,7798,219
05.08,1701,35432,9120,229
05.09,1704,37136,10144,239
05.10,1912,39048,11457,246
05.11,1966,41014,12737,255
05.12,1911,42925,15257,264
05.13,1905,44830,17622,273
05.14,2039,46869,19051,283
05.15,2307,49176,21869,292
05.16,2840,52016,23666,302
05.17,2736,54752,25722,312
05.18,2593,57345,28748,320
05.19,2509,59854,31634,329
05.20,2691,62545,33478,339
05.21,2532,65077,36040,351
05.22,0,65077,36040,351
05.23,5084,70161,41236,379
05.24,2399,72560,43520,390
05.25,2235,74795,45668,399
05.26,1931,76726,48450,411
05.27,1815,78541,51022,425
05.28,1644,80185,54553,441
05.29,1581,81766,57013,458
05.30,1618,83384,58883,480
05.31,1877,85261,62442,503
06.01,1881,87142,64306,525
06.02,1869,89011,65790,549
06.03,0,89011,65790,549
06.04,4146,93157,68965,611
06.05,2591,95748,70616,642
06.06,3121,98869,71791,676
06.07,3045,101914,72817,712
06.08,3369,105283,74524,746
06.09,3288,108571,76339,783
06.10,0,108571,76339,783
06.11,7450,116021,80019,857
06.12,3921,119942,81029,893
06.13,3366,123308,82548,932
06.14,4233,127541,84720,972
06.15,4507,132048,87890,1011
06.16,4267,136315,89540,1052
06.17,4919,141234,91662,1091
06.18,0,141234,91662,1091
