日期,新增确诊,确诊总数,治愈数,死亡数
02.27,1,1,0,0
02.28,0,1,0,0
02.29,0,1,0,0
03.01,0,1,0,0
03.02,0,1,0,0
03.03,0,1,0,0
03.04,0,1,0,0
03.05,2,3,0,0
03.06,2,5,0,0
03.07,5,10,0,0
03.08,0,10,0,0
03.09,0,10,0,0
03.10,2,12,0,0
03.11,1,13,0,0
03.12,3,16,0,0
03.13,25,41,0,0
03.14,27,68,0,0
03.15,67,135,0,0
03.16,36,171,0,0
03.17,34,205,0,0
03.18,53,258,0,0
03.19,0,258,0,0
03.20,9,267,0,0
03.21,16,283,0,0
03.22,23,306,0,0
03.23,20,326,0,0
03.24,26,352,0,0
03.25,17,369,0,0
03.26,35,404,4,1
03.27,134,538,4,1
03.28,37,575,11,1
03.29,70,645,20,1
03.30,70,715,20,3
03.31,30,745,26,4
04.01,34,779,33,5
04.02,79,858,45,11
04.03,103,961,48,12
04.04,57,1018,59,13
04.05,79,1097,62,15
04.06,11,1108,62,19
04.07,41,1149,69,21
04.08,36,1185,72,24
04.09,22,1207,83,24
04.10,51,1258,93,24
04.11,46,1304,93,24
04.12,5,1309,98,25
04.13,23,1332,102,27
04.14,41,1373,115,31
04.15,27,1400,117,35
04.16,34,1434,133,36
04.17,25,1459,145,38
04.18,53,1512,162,38
04.19,16,1528,164,40
04.20,7,1535,165,40
04.21,17,1552,169,43
04.22,7,1559,184,44
04.23,33,1592,192,45
04.24,13,1605,206,46
04.25,30,1635,228,46
04.26,8,1643,233,49
04.27,4,1647,233,50
04.28,13,1660,240,50
04.29,6,1666,236,50
04.30,23,1689,249,52
05.01,5,1694,253,52
05.02,5,1699,256,53
05.03,0,1699,256,53
05.04,4,1703,259,55
05.05,8,1711,261,55
05.06,2,1713,264,55
05.07,7,1720,273,56
05.08,5,1725,704,56
05.09,8,1733,747,60
05.10,6,1739,750,60
05.11,2,1741,751,61
05.12,5,1746,777,61
05.13,5,1751,777,61
05.14,7,1758,909,62
05.15,8,1766,923,63
05.16,4,1770,934,63
05.17,4,1774,938,63
05.18,10,1784,938,64
05.19,7,1791,938,64
05.20,3,1794,956,64
05.21,6,1800,963,64
05.22,7,1807,1508,64
05.23,14,1821,1526,64
05.24,2,1823,1532,64
05.25,1,1824,1538,65
05.26,10,1834,1552,65
05.27,6,1840,1561,66
05.28,11,1851,1574,66
05.29,8,1859,1610,67
05.30,6,1865,1622,67
05.31,4,1869,1624,68
06.01,1,1870,1625,68
06.02,0,1870,1632,68
06.03,0,1870,1632,68
06.04,20,1890,1663,69
06.05,20,1910,1667,69
06.06,21,1931,1675,69
06.07,8,1939,1681,69
06.08,1,1940,1683,69
06.09,7,1947,1684,69
06.10,11,1958,1690,69
06.11,7,1965,1697,69
06.12,5,1970,1703,69
06.13,3,1973,1705,69
06.14,0,1973,1705,69
06.15,1,1974,1717,69
06.16,1,1975,1728,69
06.17,2,1977,1743,69
06.18,0,1977,1743,69
