日期,新增确诊,确诊总数,治愈数,死亡数
03.02,1,1,0,0
03.03,0,1,0,0
03.04,0,1,0,0
03.05,0,1,0,0
03.06,0,1,0,0
03.07,0,1,0,0
03.08,0,1,0,0
03.09,0,1,0,0
03.10,0,1,0,0
03.11,0,1,0,0
03.12,0,1,0,0
03.13,0,1,0,0
03.14,0,1,1,0
03.15,6,7,1,0
03.16,6,13,1,0
03.17,17,30,1,0
03.18,19,49,1,0
03.19,8,57,1,0
03.20,13,70,1,0
03.21,14,84,1,0
03.22,15,99,1,0
03.23,13,112,1,0
03.24,15,127,1,0
03.25,26,153,1,0
03.26,19,172,1,0
03.27,40,212,1,0
03.28,23,235,18,1
03.29,11,246,18,1
03.30,13,259,18,3
03.31,9,268,26,5
04.01,6,274,30,5
04.02,4,278,36,5
04.03,21,299,45,5
04.04,11,310,58,5
04.05,13,323,74,5
04.06,22,345,110,5
04.07,4,349,126,6
04.08,4,353,138,6
04.09,5,358,150,6
04.10,14,372,161,7
04.11,0,372,170,7
04.12,9,381,177,7
04.13,8,389,201,7
04.14,2,391,215,7
04.15,6,397,235,7
04.16,4,401,250,7
04.17,1,402,259,7
04.18,5,407,265,7
04.19,6,413,269,7
04.20,4,417,276,7
04.21,8,425,282,7
04.22,3,428,297,7
04.23,7,435,315,7
04.24,2,437,318,7
04.25,7,444,332,7
04.26,0,444,332,7
04.27,3,447,337,7
04.28,2,449,348,8
04.29,0,449,348,8
04.30,4,453,362,8
05.01,0,453,362,8
05.02,6,459,364,9
05.03,1,460,367,9
05.04,5,465,370,9
05.05,0,465,370,9
05.06,6,471,375,9
05.07,13,484,381,9
05.08,10,494,381,9
05.09,14,508,385,9
05.10,14,522,387,9
05.11,18,540,389,9
05.12,22,562,390,9
05.13,20,582,392,9
05.14,0,582,392,9
05.15,14,596,401,9
05.16,0,596,401,9
05.17,11,607,404,9
05.18,6,613,408,9
05.19,16,629,413,9
05.20,20,649,417,9
05.21,23,672,446,9
05.22,12,684,457,9
05.23,16,700,461,9
05.24,8,708,471,9
05.25,0,708,471,9
05.26,3,711,479,9
05.27,7,718,586,9
05.28,10,728,486,9
05.29,0,728,497,9
05.30,2,730,507,9
05.31,9,739,522,9
06.01,0,739,522,9
06.02,16,755,549,9
06.03,0,755,549,9
06.04,2,757,561,9
06.05,8,765,566,9
06.06,19,784,571,9
06.07,24,808,607,9
06.08,23,831,627,9
06.09,0,831,627,9
06.10,14,845,657,9
06.11,18,863,663,9
06.12,27,890,670,9
06.13,25,915,671,9
06.14,46,961,682,9
06.15,18,979,692,9
06.16,2,981,693,9
06.17,6,987,693,9
06.18,0,987,693,9
