日期,新增确诊,确诊总数,治愈数,死亡数
03.21,0,3,0,0
03.22,0,3,0,0
03.23,0,3,0,0
03.24,2,5,0,0
03.25,4,9,0,0
03.26,4,13,0,0
03.27,0,13,0,0
03.28,6,19,0,0
03.29,5,24,0,0
03.30,6,30,0,0
03.31,2,32,0,0
04.01,0,32,0,1
04.02,9,41,0,2
04.03,5,46,0,2
04.04,10,56,0,3
04.05,6,62,2,3
04.06,7,69,2,3
04.07,9,78,5,4
04.08,15,93,9,5
04.09,10,103,10,5
04.10,14,117,15,6
04.11,1,118,19,6
04.12,7,125,21,6
04.13,12,137,22,6
04.14,12,149,25,6
04.15,10,159,30,6
04.16,5,164,33,6
04.17,13,177,38,7
04.18,13,190,43,7
04.19,11,201,44,7
04.20,17,218,46,7
04.21,7,225,48,7
04.22,12,237,63,7
04.23,13,250,67,8
04.24,11,261,72,8
04.25,13,274,75,8
04.26,24,298,83,8
04.27,25,323,89,8
04.28,22,345,97,8
04.29,32,377,106,9
04.30,18,395,118,9
05.01,29,424,124,10
05.02,22,446,138,10
05.03,0,446,141,10
05.04,109,555,180,12
05.05,32,587,201,13
05.06,46,633,219,14
05.07,62,695,245,15
05.08,47,742,257,15
05.09,42,784,276,16
05.10,105,889,293,17
05.11,69,958,325,17
05.12,40,998,349,18
05.13,39,1037,374,20
05.14,75,1112,405,20
05.15,98,1210,416,23
05.16,55,1265,441,25
05.17,73,1338,462,27
05.18,75,1413,474,30
05.19,85,1498,502,30
05.20,73,1571,531,31
05.21,69,1640,540,32
05.22,85,1725,562,33
05.23,94,1819,570,33
05.24,96,1915,594,35
05.25,68,1983,698,35
05.26,59,2042,787,36
05.27,67,2109,873,37
05.28,85,2194,1002,39
05.29,84,2278,1015,42
05.30,117,2395,1026,44
05.31,122,2517,1040,46
06.01,65,2582,1063,46
06.02,71,2653,1116,46
06.03,0,2653,1116,46
06.04,128,2781,1208,51
06.05,68,2849,1249,53
06.06,85,2934,1281,53
06.07,81,3015,1305,53
06.08,89,3104,1361,55
06.09,87,3191,1413,58
06.10,0,3191,1419,60
06.11,182,3373,1497,64
06.12,108,3481,1587,68
06.13,122,3603,1738,72
06.14,117,3720,1837,72
06.15,106,3826,1912,74
06.16,115,3941,2041,76
06.17,125,4066,2137,78
06.18,0,4066,2137,78
