企业代号,企业名称
E124,个体经营E124 
E125,个体经营E125 
E126,个体经营E126 
E127,个体经营E127 
E128,个体经营E128 
E129,个体经营E129 
E130,个体经营E130 
E131,个体经营E131 
E132,个体经营E132 
E133,个体经营E133 
E134,***工程咨询有限公司
E135,***建设工程有限公司
E136,***机械有限责任公司
E137,***建设工程有限公司
E138,个体经营E138 
E139,个体经营E139 
E140,***建筑工程有限公司
E141,***食品有限公司
E142,***运业有限公司
E143,***电子科技有限公司
E144,***劳务有限公司
E145,***工贸有限公司
E146,***基础建设工程有限公司
E147,***装饰工程有限责任公司
E148,***商贸有限公司
E149,***建筑劳务有限公司
E150,***建设工程有限公司
E151,***路桥工程有限公司
E152,***运贸有限责任公司
E153,个体经营E153 
E154,***汽车销售服务有限公司
E155,个体经营E155 
E156,个体经营E156 
E157,***环境设备工程有限公司
E158,***装饰工程有限公司
E159,个体经营E159 
E160,***钢结构工程有限公司
E161,***建筑劳务有限责任公司
E162,***网络信息安全有限公司
E163,***物流有限公司
E164,个体经营E164 
E165,***文化传媒股份有限公司
E166,***建筑工程有限公司
E167,***体育文化股份有限公司
E168,***建材有限公司
E169,***建筑设计有限公司
E170,***建筑劳务有限公司
E171,***质量检验测试站
E172,***物流有限公司
E173,***贸易有限责任公司
E174,***工程技术有限公司
E175,***食品集团有限公司
E176,***科技有限公司
E177,***电力工程有限公司
E178,***贸易有限公司
E179,***园林有限公司
E180,***电气有限公司
E181,***食品有限公司
E182,***新材料科技有限公司
E183,***建设工程有限公司
E184,***建筑装饰工程有限公司
E185,***生态魔芋有限公司
E186,***建筑劳务有限公司
E187,个体经营E187 
E188,***硬质合金有限公司
E189,***石油工程技术服务有限公司
E190,***劳务有限公司
E191,***商贸有限责任公司
E192,***建设工程有限公司
E193,个体经营E193 
E194,***文化传播有限公司
E195,***医药有限公司
E196,***地质制图印刷厂
E197,***医疗设备有限公司
E198,***商贸有限公司
E199,***建筑劳务有限公司
E200,个体经营E200 
E201,***物流有限责任公司
E202,个体经营E202 
E203,***建设工程有限公司
E204,***科技发展有限公司
E205,个体经营E205 
E206,***建设工程有限公司
E207,个体经营E207 
E208,个体经营E208 
E209,***工程检测有限公司
E210,***建筑工程有限公司
E211,个体经营E211 
E212,***建电管理咨询有限公司
E213,***科技有限公司
E214,***建筑工程有限公司
E215,***建筑工程有限公司
E216,***建设工程有限公司
E217,个体经营E217 
E218,***建设工程有限公司
E219,***品牌营销策划有限公司
E220,***文化传播有限公司
E221,***测绘服务有限公司
E222,***数码科技有限公司
E223,***科技有限公司
E224,***纸业有限公司
E225,***物业服务有限责任公司***分公司
E226,***建设工程有限公司
E227,***安全技术有限公司
E228,***文化发展有限公司
E229,***家贸易有限公司
E230,***建筑劳务有限公司
E231,***建筑科技有限公司
E232,***投资发展有限责任公司
E233,***劳务有限公司
E234,***机电设备商贸有限公司
E235,个体经营E235 
E236,个体经营E236 
E237,个体经营E237 
E238,个体经营E238 
E239,个体经营E239 
E240,个体经营E240 
E241,个体经营E241 
E242,个体经营E242 
E243,***科技有限公司
E244,个体经营E244 
E245,***建筑劳务有限公司
E246,***物业服务有限公司
E247,***石化有限公司
E248,***智能科技有限公司
E249,***建筑工程有限公司
E250,***塑料厂
E251,***医疗器械有限责任公司
E252,***印务有限公司
E253,***钢结构工程有限公司
E254,***设备安装工程有限公司
E255,个体经营E255 
E256,***物资有限公司
E257,***门窗安装有限公司
E258,***国际货运有限公司
E259,***文化传媒有限公司
E260,***广告有限公司
E261,***医疗器械有限公司
E262,个体经营E262 
E263,***通信工程有限公司
E264,个体经营E264 
E265,***净化工程有限公司
E266,***煤矿机械有限公司
E267,***林园艺场
E268,***建筑劳务有限公司
E269,***节能服务有限公司
E270,个体经营E270 
E271,***科技有限公司
E272,个体经营E272 
E273,个体经营E273 
E274,***建筑劳务有限公司
E275,***网络工程有限公司
E276,***体育设施工程有限公司
E277,***消防设备制造有限公司
E278,***贸易有限公司
E279,***环保包装有限公司
E280,个体经营E280 
E281,***商业管理有限责任公司
E282,***影城有限公司***分公司
E283,***机械铸造有限责任公司
E284,***成焊科技有限公司
E285,个体经营E285 
E286,***印务有限公司
E287,***鞋材有限公司
E288,个体经营E288 
E289,***运业有限公司***分公司
E290,***机电有限公司
E291,***文业建设工程有限公司
E292,***物流有限公司
E293,***物资有限公司
E294,个体经营E294 
E295,***电器设备制造有限公司
E296,***装饰设计工程有限公司
E297,***建筑机械租赁有限公司
E298,***电器维护服务有限公司
E299,***压缩天然气有限责任公司
E300,***建设工程有限公司
E301,***企业管理咨询有限公司
E302,***机电设备有限公司
E303,***图书发行有限公司
E304,***环保科技有限公司
E305,***劳务有限公司
E306,个体经营E306 
E307,***通信工程有限公司
E308,***餐饮文化服务有限公司
E309,个体经营E309 
E310,***律师事务所
E311,***律师事务所
E312,***家居用品有限公司
E313,***物流有限公司
E314,***房地产营销策划有限公司
E315,***轮胎有限公司
E316,个体经营E316 
E317,***科技有限公司
E318,***商贸有限公司
E319,个体经营E319 
E320,***建筑设计有限公司
E321,***生物流有限公司
E322,***装饰工程设计有限公司
E323,***建筑装饰工程有限公司
E324,***汽贸有限公司
E325,***通讯器材有限公司
E326,***包装材料有限公司
E327,个体经营E327 
E328,***科技有限公司
E329,***园艺有限责任公司
E330,***酒店管理有限公司
E331,***广告有限公司
E332,***商贸有限公司
E333,***房地产营销策划有限公司
E334,***机械科技有限公司
E335,***挖掘机租赁经营部
E336,***猕猴桃专业合作社
E337,个体经营E337 
E338,***商贸有限公司
E339,***居益卫浴家h厂
E340,***物流有限公司
E341,***纺织品有限公司
E342,***裕华机械厂
E343,***五金工具经营部
E344,***机械有限公司
E345,***科技有限公司
E346,个体经营E346 
E347,***不锈钢材料有限公司
E348,***酒店管理有限公司
E349,***营销策划广告有限公司
E350,***演艺设备有限公司
E351,***文化传播有限公司
E352,***居装饰工程有限公司
E353,***税务师事务所有限公司
E354,***广告有限公司
E355,***地毯经营部
E356,***建材装饰部
E357,***家居经营部
E358,***五金经营部
E359,***厨房用品经营部
E360,***建筑劳务有限公司
E361,***勘察设计工程有限公司
E362,***建材有限公司
E363,***建筑工程设计有限公司
E364,***电子有限公司
E365,***信息技术有限公司
E366,***房地产经纪有限公司
E367,***电子商务有限公司
E368,***通信科技有限责任公司
E369,***网络技术有限公司
E370,***设计服务部
E371,***自动化科技有限公司
E372,***汽车维修有限责任公司
E373,个体经营E373 
E374,***建材经营部
E375,***电器经营部
E376,***建筑装饰设计有限责任公司
E377,***文化传播有限公司
E378,***商贸有限公司
E379,***药业有限公司
E380,***建材有限公司
E381,***通信网络工程有限公司
E382,***教育信息咨询有限公司***分公司
E383,***通讯器材经营部
E384,个体经营E384 
E385,***装饰工程有限公司
E386,个体经营E386 
E387,***农副产品经营部
E388,***商贸有限公司
E389,***清洁服务有限公司
E390,***建筑工程有限公司
E391,***五金店
E392,***科技有限公司
E393,***商贸有限责任公司
E394,***环保设计研究院（有限合伙）
E395,***网络科技有限公司
E396,***文化传播有限公司
E397,***大闸蟹经营部
E398,***医疗管理咨询有限公司
E399,***装饰工程有限公司
E400,***办公用品经营部
E401,***遮阳技术发展中心
E402,***商贸有限公司
E403,***机械有限公司
E404,个体经营E404 
E405,***职业技能服务有限公司
E406,***招投标代理有限公司
E407,***装饰工程有限公司
E408,***空调制冷有限责任公司
E409,***塑胶有限公司
E410,***网络科技有限公司
E411,***机电设备有限公司
E412,***汽车贸易有限公司
E413,***石材工艺品有限公司
E414,***物流有限责任公司***分公司
E415,***广告设计服务部
E416,***科技有限公司
E417,***园林景观工程有限公司
E418,***营销策划有限公司
E419,***科技有限公司
E420,***康药房
E421,***保温材料有限公司
E422,***童装店
E423,***通风设备有限公司
E424,***贸易有限公司
E425,***商贸有限公司
