职位名称,公司全称,公司人数,发布时间,工作城市,薪资待遇,工作经验,学历要求,职位优势
会计,广州千粤税务师事务所有限公司,15-50人,2020-12-25 10:39,广州,3k-6k,1-3年,本科,高晋升
会计助理,北京西雅克商贸有限责任公司,15-50人,2020-9-22 12:35,北京,5k-8k,3-5年,大专,五险一金，月工资加年终奖.。
财务会计,广州有你网络技术有限公司,15-50人,2020-12-28 10:12,广州,4k-7k,1年以下,大专,下午茶 社会保险 月度团建 年度旅游
财务会计,上海普石信息科技有限公司,少于15人,2020-12-14 18:53,上海,5k-8k,不限,大专,福利齐全，无加班
会计,成都轻备教育科技有限公司,50-150人,2020-12-23 9:18,成都,4k-6k,3-5年,大专,大牛带队 发展空间大
财务会计,广东亿迅科技有限公司,2000人以上,2020-12-28 15:05,广州,6k-8k,1-3年,本科,五险一金 双休 国企
会计,格格医疗科技（上海）有限公司,15-50人,2020-8-10 14:01,杭州,5k-8k,1-3年,本科,发展前景好、福利待遇佳
会计,深圳市永恒信建筑劳务分包有限公司,50-150人,2020-12-29 19:15,深圳,6k-8k,3-5年,大专,会计
总账会计,众安在线财产保险股份有限公司,2000人以上,2020-12-29 10:11,上海,10k-20k,3-5年,本科,团队实力，发展前景
会计主管(J10540),北京读我科技有限公司,2000人以上,2020-12-31 11:29,北京,15k-20k,3-5年,不限,餐补房补，发展空间大，地铁周边
会计,深圳市锦顺源物业管理有限公司,50-150人,2020-12-25 9:18,深圳,8k-9k,3-5年,大专,发展前景好
应付会计(J11803),朗新科技集团股份有限公司,2000人以上,2020-12-31 9:42,无锡,4k-6k,在校/应届,本科,大平台，福利待遇好，朝九晚六，周末双休
财务会计,深圳必闻文化发展有限公司,15-50人,2020-12-14 9:34,深圳,4k-8k,1-3年,大专,"发展空间大,绩效奖金多"
会计,中晟国亚财税顾问（北京）有限公司,50-150人,2020-12-29 9:30,北京,4k-8k,1-3年,大专,周末双休 节假日休息 带薪年假
财务人员/会计,湖北振华化学股份有限公司,500-2000人,2020-12-31 17:20,黄石,4k-8k,5-10年,本科,五险一金、工作餐、通勤车、***员可申请住宿
会计助理,湖北神州顺利办科技有限公司,150-500人,2020-12-29 14:19,武汉,3k-6k,1年以下,大专,专业是会计的灵魂
会计,陕西宏存财务管理咨询有限公司,15-50人,2020-8-31 7:26,西安,5k-8k,不限,本科,周末双休，氛围好
总账会计,上海莉莉丝科技股份有限公司,500-2000人,2020-12-28 17:13,上海,8k-15k,3-5年,本科,"弹性工作,工作氛围好"
财务会计,德徕美（广州）国际医疗管理有限公司,50-150人,2020-12-18 12:01,广州,4k-6k,1-3年,大专,公司待遇与能力成正比，只要你有能力即可！
会计,北京宏启瑞商贸有限公司,少于15人,2020-12-9 15:54,北京,6k-8k,1-3年,本科,期待专业的你加入
会计,北京紫荆城会计有限公司,15-50人,2020-12-28 23:18,北京,5k-7k,1-3年,不限,双休 五险
应付会计(J11803),朗新科技集团股份有限公司,2000人以上,2020-12-31 9:42,无锡,4k-6k,在校/应届,本科,上市公司 福利待遇好
会计,中科天环环境工程（北京）有限公司,15-50人,2020-12-29 15:22,北京,4k-6k,1-3年,大专,环境工程，环保行业，污水处理
成本会计,广州今美伦商贸有限公司,150-500人,2021-1-1 3:00,广州,5k-7k,1-3年,大专,会计
会计助理,中国平安人寿保险股份有限公司成都电话销售中心,2000人以上,2020-12-12 17:54,成都,4k-6k,不限,大专,周末双休
会计,盐边天集中药材有限公司,15-50人,2020-12-29 17:35,攀枝花,3k-4k,不限,不限,大家一起成长
会计,四川当代鑫房地产营销策划有限公司,少于15人,2020-12-29 10:36,成都,4k-5k,1-3年,本科,早九晚六 双休 五险一金
财务会计,北京国润信昌网络科技有限公司,15-50人,2020-12-23 11:27,北京,7k-14k,1-3年,本科,年底多薪，五险一金，周末双休，节假日带薪
会计,浙江蓝奥教育科技有限公司,50-150人,2020-12-29 15:06,杭州,7k-12k,3-5年,本科,500平现代化办公环境
会计,陕西顿斯制药有限公司,50-150人,2020-12-29 9:18,西安,4k-6k,3-5年,本科,年底双薪、交通补助、带薪年假、节日福利
会计助理,河北东方大鹏彩钢压型板有限公司,50-150人,2020-11-21 8:39,北京,3k-6k,不限,大专,员工氛围融洽，提供住宿，老会计带
会计助理,广州纯简网络科技有限公司,150-500人,2020-12-29 13:46,广州,3k-4k,1年以下,大专,晋升空间大，带薪年假，专业培训
会计助理,深圳市速加科技有限公司,15-50人,2020-12-29 17:48,深圳,5k-6k,1-3年,大专,公司前景 团队成员
出纳（会计）,北京凌云雀科技有限公司,150-500人,2020-12-30 10:31,北京,6k-8k,3-5年,本科,"云计算,国际化团队,股票期权"
总账会计,北京快乐茄信息技术有限公司,150-500人,2020-12-28 14:47,北京,15k-28k,3-5年,本科,出海领军公司
会计,杭州来兴元品投资管理合伙企业（有限合伙）,少于15人,2020-12-18 15:36,杭州,8k-10k,在校/应届,本科,收入高；成长快；晋升快
主办会计,成都市文景智旅网络科技有限公司,150-500人,2020-12-31 17:54,成都,8k-9k,3-5年,本科,五险一金 周末双休 职业发展
财务会计,广州有你网络技术有限公司,15-50人,2020-12-28 10:12,广州,4k-7k,1年以下,大专,下午茶 社会保险 月度团建 年度旅游
财务会计,广东蓝极熊环保科技有限公司,少于15人,2020-12-21 10:44,广州,4k-5k,不限,大专,氛围nice
（校招）财务/会计助理 (MJ000307),百融云创科技股份有限公司,500-2000人,2020-12-31 10:45,北京,8k-15k,在校/应届,本科,成长空间
全盘会计,深圳市有传科技有限公司,150-500人,2020-12-31 18:33,深圳,13k-23k,3-5年,本科,高成长、团队氛围佳
会计助理,天津市武清区朋朋化妆品店,少于15人,2020-12-18 9:54,天津,3k-6k,在校/应届,不限,福利待遇好，晋升空间大
会计,广西天灿会计服务有限公司百色分公司,150-500人,2020-12-29 10:58,百色,3k-6k,1-3年,大专,加入我们吧
会计助理/初级会计,深圳市易流科技股份有限公司,500-2000人,2020-12-31 17:20,深圳,5k-8k,1年以下,本科,独角兽企业、晋升机制透明
助理岗（会计+商务）,中科软科技股份有限公司,2000人以上,2020-12-31 15:07,北京,6k-8k,1-3年,本科,工作环境稳定
会计助理,金账本会计（深圳）有限公司,50-150人,2020-12-28 14:45,惠州,4k-6k,1年以下,本科,上升空间大，福利待遇好
财务会计（上市公司）,九一金融信息服务（北京）有限公司,150-500人,2020-12-30 18:40,北京,8k-12k,3-5年,本科,五险一金 上市公司 饭补
财务会计,深圳市金善乙服装有限公司,15-50人,2020-11-24 11:09,深圳,6k-7k,3-5年,不限,不加班、早九晚六、年终奖金、中餐补助有食堂
出纳/会计,北京鱼爪网络科技有限公司成都分公司,2000人以上,2020-12-31 20:40,成都,3k-6k,1-3年,本科,晋升空间、团队
会计,苏州弘正汽车科技有限公司,50-150人,2020-12-16 21:20,苏州,4k-5k,在校/应届,不限,详情面试了解，汽车内饰方面
会计,北京励合天地文化传播有限公司,15-50人,2020-12-28 16:47,北京,6k-8k,不限,大专,公司项目IP多、晋升空间大、人际关系好
会计,东莞市携手物流科技有限公司,50-150人,2020-12-28 11:07,东莞,6k-12k,3-5年,本科,"发挥空间大,成长,成就"
财务会计,成都北纬航信网络科技有限责任公司,15-50人,2020-12-16 14:21,成都,6k-9k,5-10年,本科,13薪、周末双休、全额公积金
总账会计,上海商米科技集团股份有限公司,500-2000人,2020-12-28 11:15,上海,10k-20k,3-5年,本科,大公司
会计,广东力达实业集团有限公司,50-150人,2020-12-28 15:43,广州,5k-8k,5-10年,本科,五险一金，双休，国家法定节假日，工作环境轻松
财务会计,佛山市光宗珠宝有限公司,15-50人,2020-10-27 15:55,佛山,4k-5k,1-3年,大专,社保、包吃、休闲旅游、不定时下午茶
费用会计,广州富米科技有限公司,500-2000人,2020-12-30 21:12,广州,7k-10k,3-5年,大专,五险一金、期权、垂直领域**
会计专员,迪阿股份有限公司,2000人以上,2020-12-28 10:09,深圳,5k-8k,1-3年,本科,五险一金，福利完善
会计助理,金账本会计（深圳）有限公司,50-150人,2020-12-28 14:45,东莞,4k-6k,1年以下,大专,上升空间大，福利待遇好
资深会计,上海别样秀数据科技有限公司,150-500人,2020-12-30 14:51,上海,12k-18k,5-10年,本科,跨境，电商，外企，美式管理，氛围佳，发展稳定
总账会计,广州中工水务信息科技有限公司,50-150人,2020-12-25 14:06,广州,6k-8k,3-5年,大专,五险一金、周末双休、双薪
会计,上海阿牛信息科技有限公司,150-500人,2020-12-25 9:35,上海,6k-10k,1年以下,本科,弹性工作时间
会计助理,武汉波立信企业管理咨询有限公司,少于15人,2020-9-11 22:24,武汉,2k-4k,不限,大专,专业、专注！
应届毕业生/管理会计,北京融智天管理软件有限公司,50-150人,2020-12-31 17:48,北京,6k-8k,不限,本科,公司扁平化管理，晋升快，奖金高
实习会计,郑州领英教育信息服务有限公司第一分公司,15-50人,2020-12-31 8:50,郑州,3k-5k,不限,不限,提供住宿
会计,东莞阿亮商贸有限公司,15-50人,2020-12-28 22:35,东莞,5k-8k,1-3年,不限,招牌合作伙伴
会计,湖南八斗金企业管理咨询有限公司,15-50人,2020-12-30 10:22,长沙,4k-5k,1-3年,本科,靠近地铁站，交通方便
会计,北京阳光天女信息科技有限公司,50-150人,2020-12-28 14:38,北京,7k-10k,5-10年,本科,"带薪年假,五险一金,补充医疗"
会计,安徽安联诚通运输有限公司,少于15人,2020-7-19 13:25,郑州,3k-5k,不限,不限,小公司，人性化管理，工作舒心
会计,沈阳嗨趣文化传媒有限公司,15-50人,2020-12-15 16:49,沈阳,4k-5k,1-3年,本科,你离成功只差一个我们
会计核算专员,北京凌宇智控科技有限公司,50-150人,2020-12-31 16:46,杭州,6k-10k,3-5年,本科,发展空间大、弹性工作、津贴补助、六险一金
会计负责人,上海竞心承峰传媒有限公司,150-500人,2020-12-30 15:41,上海,10k-15k,5-10年,本科,头部电子竞技俱乐部
会计助理,上海腾华软件技术有限公司,150-500人,2020-12-28 9:46,上海,5k-6k,在校/应届,本科,五险一金 商业保险 餐补
会计,杭州良益农业开发有限公司,15-50人,2020-12-24 9:52,杭州,5k-8k,5-10年,大专,扁平化管理，职位有晋升空间
全盘会计,深圳聿旌科技有限公司,50-150人,2020-12-31 16:12,深圳,6k-9k,3-5年,本科,年终奖金，年度调薪
结算会计,深圳市君仁科技发展有限公司,50-150人,2020-12-31 16:28,深圳,6k-8k,3-5年,本科,只要你有梦想，我们就给你一个飞舞的平台。
应付会计,钛马信息网络技术有限公司,150-500人,2020-12-31 16:33,上海,6k-12k,3-5年,本科,车联网
成本会计,上海欢动科技有限公司,50-150人,2020-12-31 18:27,上海,7k-9k,3-5年,大专,带薪休假 项目分红 上班撸猫
会计,正信万维（北京）科技有限公司,50-150人,2020-12-28 18:31,北京,8k-10k,3-5年,大专,"五险一金,周末双休,年终奖,独立办公室"
会计,湖南天合众创创业服务有限公司,50-150人,2020-12-28 9:16,长沙,3k-5k,在校/应届,大专,学习型组织；晋升空间；
财务会计,惠州丹轩顾问有限公司,15-50人,2020-12-28 16:02,惠州,4k-5k,1-3年,大专,有活力，多平台知识学习，税筹知识学习
管理会计,金蝶软件（中国）有限公司深圳分公司,2000人以上,2020-12-31 15:38,深圳,6k-8k,不限,本科,ERP龙头企业，互联网顶端平台，年轻的团队伙伴
总账会计（深圳公司）,广州洋葱时尚集团有限公司,500-2000人,2020-12-31 15:46,广州,5k-7k,3-5年,大专,"千万级用户,发展空间大,行业独角兽"
总账会计,广州市博君商贸有限公司,50-150人,2020-12-28 9:23,广州,6k-7k,3-5年,大专,年假、五险一金
会计,研祥智能科技股份有限公司,2000人以上,2020-12-24 17:56,深圳,6k-9k,3-5年,大专,上市公司 免费自助餐
会计,深圳市金田多科技发展有限公司,15-50人,2020-12-28 21:38,深圳,5k-6k,3-5年,本科,全盘处理
结算会计,浙江大有健康产业有限公司,50-150人,2020-12-31 17:31,杭州,6k-9k,1-3年,大专,成长速度快
应付会计专员,深圳市万普拉斯科技有限公司,500-2000人,2020-12-30 11:06,深圳,13k-25k,3-5年,本科,六险一金；海景office；融洽的团队
核算会计,广州多益网络股份有限公司,500-2000人,2020-12-31 16:15,广州,6k-12k,不限,不限,互联网百强
税务会计,广州多益网络股份有限公司,500-2000人,2020-12-31 16:15,广州,6k-12k,不限,不限,互联网百强
财务会计,广州有你网络技术有限公司,15-50人,2020-12-28 10:12,广州,4k-7k,1年以下,大专,下午茶 社会保险 月度团建 年度旅游
Authing 总账会计,北京蒸汽记忆科技有限公司,15-50人,2020-12-30 19:07,北京,9k-15k,1-3年,本科,15薪 入职五险一金 团队氛围活跃 快速成长
财务会计,北京九言科技有限公司,少于15人,2020-12-21 16:53,北京,6k-12k,不限,本科,发展强力强，大牛带队，团队关系融洽
财务会计（电商行业）,杭州折跃文化有限公司,15-50人,2020-12-31 18:22,北京,7k-9k,1-3年,大专,五险一金，带薪年假
会计专员（南沙）,广州淦源智能科技有限公司,150-500人,2020-12-31 14:34,广州,4k-6k,3-5年,大专,发展空间大
会计经理,广州集时信息科技有限公司,150-500人,2020-12-31 10:11,广州,10k-20k,5-10年,大专,六险一金 年终奖 周末双休
会计专员,武汉明源云科技有限公司,2000人以上,2020-12-22 9:32,武汉,5k-8k,不限,大专,平台大氛围赞，福利好/六险一金
会计助理,湖北税联教育科技有限公司,15-50人,2020-12-29 14:33,武汉,2k-3k,不限,不限,团队实力雄厚
会计,武汉爱途国际文化交流有限公司,15-50人,2020-12-1 11:00,武汉,4k-8k,3-5年,本科,国家政策发展方向 市场巨大
软件开发工程师（账务及会计业务方向）,上海农村商业银行股份有限公司,500-2000人,2020-12-31 9:31,上海,20k-25k,3-5年,本科,发展前景好，福利待遇好
会计,安顺迅游网络科技有限公司,50-150人,2020-12-25 8:52,杭州,6k-8k,1-3年,本科,游戏行业、双休、发展空间大
会计,武汉万江龙网络有限公司,50-150人,2020-12-28 12:09,武汉,5k-7k,1-3年,本科,"五险一金,带薪年假,行业前景佳"
会计,西安因诺航空科技有限公司,50-150人,2020-12-22 13:58,西安,6k-8k,3-5年,本科,五险一金、股权激励、带薪年休假
财务会计（电商）,深圳市朝夕科技有限公司,15-50人,2020-12-31 13:30,深圳,6k-10k,1-3年,大专,周末双休五险一金节日福利带薪年假定期体检
初级会计,北京掌引医疗科技有限公司,15-50人,2020-12-31 13:12,北京,5k-7k,1-3年,大专,工作轻松
核算会计,北京中电博亚科技有限公司,50-150人,2020-12-31 18:20,北京,15k-20k,5-10年,本科,带薪年假 扁平化管理 体检旅游 五险一金
会计,合发电子商务有限公司,50-150人,2020-12-23 18:02,上海,6k-10k,3-5年,本科,公司环境好 氛围好
费用会计,上海亚朵商业管理（集团）股份有限公司,2000人以上,2020-12-31 11:37,上海,5k-7k,不限,本科,管理规范 发展前景好 扁平化管理 福利好
会计主管,浙江齐聚科技有限公司北京分公司,150-500人,2020-12-31 17:49,北京,10k-15k,3-5年,本科,"五险一金,餐补年终奖,弹性工作"
总账会计（B2B）,上海亚朵商业管理（集团）股份有限公司,2000人以上,2020-12-31 11:37,上海,6k-8k,1-3年,本科,扁平化管理；良好的职位晋升通道
财务会计,信阳恒兴茶饮品有限公司,500-2000人,2020-12-18 15:45,保定,5k-8k,不限,大专,晋升空间大 专业培训
会计,陕西华昌生物工程有限公司,15-50人,2020-12-28 14:19,西安,3k-4k,3-5年,本科,环境好，人员相处融洽
成本会计,广州中长康达信息技术有限公司,150-500人,2020-12-31 15:05,广州,5k-6k,1-3年,本科,六险一金 年终奖金 带薪年假 免费班车
总账会计主管,北京密境和风科技有限公司,150-500人,2020-12-31 17:39,北京,20k-25k,5-10年,本科,团队稳定 五险一金 福利团建 领导nice
总账会计,深圳市泛海统联精密制造股份有限公司,500-2000人,2020-10-8 14:33,深圳,9k-12k,不限,大专,上升空间大
跨级电商会计,成都纽仕达网络科技有限公司,15-50人,2020-12-31 17:45,泉州,4k-8k,1-3年,大专,晋升空间大
费用会计,深圳市华宇讯科技有限公司,500-2000人,2020-12-31 10:13,深圳,6k-8k,1-3年,本科,团队氛围融洽
代账会计,北京闪猫科技有限公司,15-50人,2020-12-30 7:22,北京,5k-10k,1-3年,大专,"老司机带,有挑战,期权,扁平化管理"
收入成本会计,北京格灵深瞳信息技术有限公司,150-500人,2020-12-31 16:22,北京,10k-18k,5-10年,本科,六险一金 年终奖 双休
外汇会计,深圳市华旅云创科技有限公司,50-150人,2020-12-31 10:27,深圳,6k-9k,1-3年,大专,晋升空间足
收入会计（总账会计方向）,北京鼎普科技股份有限公司,150-500人,2020-12-31 16:31,北京,13k-16k,3-5年,本科,五险一金、餐补交通补贴、周末双休等
财务会计,深圳万顺叫车云信息技术有限公司广州分公司,150-500人,2020-12-20 13:00,广州,4k-6k,3-5年,不限,晋升空间大
税务会计,优车库网络科技发展（深圳）有限公司,500-2000人,2020-12-31 10:26,深圳,6k-8k,1-3年,大专,发展前景、环境优美、团队氛围好
财务会计,北京石头世纪科技股份有限公司,500-2000人,2020-12-18 16:26,深圳,6k-10k,1-3年,本科,上市企业，行业前景好，互联网团队氛围，福利好
会计,浙江河之洲日用品贸易有限公司,少于15人,2020-12-8 13:38,杭州,5k-7k,5-10年,本科,财务会计
应收会计,北京对啊网教育科技有限公司,500-2000人,2020-12-31 9:13,北京,6k-9k,1-3年,本科,六险一金、弹性工作、年轻化团队
会计专员,深圳市理然化妆品有限公司,15-50人,2020-12-7 14:46,深圳,6k-9k,1年以下,大专,五险一金、有经验的导师
费用会计,深圳市前海亿车科技有限公司,150-500人,2020-12-31 8:19,深圳,6k-8k,1-3年,本科,周末双休 NICE导师 带薪年休假
会计管理专员,美的集团财务有限公司,150-500人,2020-12-31 10:18,佛山,7k-12k,1年以下,本科,专业培训；绩效奖金
会计专员（校招方向）,广州集时信息科技有限公司,150-500人,2020-12-31 10:11,广州,5k-7k,在校/应届,不限,六险一金 年终奖 周末双休
会计助理,深圳市田田家园家具有限公司,500-2000人,2020-12-22 9:21,深圳,4k-6k,不限,本科,财务大牛团队 包吃住 下午茶 大小周
应收会计,北京木瓜移动科技股份有限公司,150-500人,2020-12-31 13:40,北京,8k-10k,不限,本科,五险一金，专业团队，带薪年假，年底双薪
会计,广州金十信息科技有限公司,150-500人,2020-12-17 16:08,广州,4k-6k,1-3年,本科,年终奖 周末双休 带薪年假 五险一金
会计,中国平安人寿保险股份有限公司成都电话销售中心,2000人以上,2020-10-13 18:59,成都,4k-7k,不限,大专,周末双休节假日正常休假
会计应届生,上海轩宝企业发展有限公司,少于15人,2020-12-30 15:10,上海,4k-6k,在校/应届,本科,会计
财务总账会计,北京萌宝教育科技有限公司,150-500人,2020-12-31 10:09,上海,7k-14k,3-5年,本科,弹性办公，补充医疗保险，下午茶，团建活动
贸易会计（安亭 福利好）,上海迪塔班克数据科技有限公司,50-150人,2020-12-31 11:48,上海,7k-10k,1-3年,本科,团队成员来自大厂
财务会计,广州有你网络技术有限公司,15-50人,2020-12-28 10:12,广州,4k-7k,1年以下,大专,下午茶 社会保险 月度团建 年度旅游
会计辅导老师（双休 六险一金）,北京百家互联科技有限公司,2000人以上,2020-12-29 16:15,南京,8k-15k,不限,本科,扁平化管理 带薪年假 高薪
主帐会计（必须有cpa或中级职称）,上海睿民互联网科技有限公司,500-2000人,2020-12-31 14:55,上海,10k-15k,5-10年,大专,做五休二
会计主管（互联网）,深圳市富连网物联网智能家居有限公司,2000人以上,2020-12-31 14:53,深圳,12k-24k,3-5年,大专,500强 发展前景好 大平台 福利好 氛围好
财务总账会计,北京萌宝教育科技有限公司,150-500人,2020-12-31 10:09,上海,7k-14k,不限,本科,弹性办公，补充医疗保险，下午茶，团建活动
税务会计,北京猿力未来科技有限公司,2000人以上,2020-12-30 18:35,北京,8k-15k,不限,本科,六险一金、试用期全额、出国游、带薪休假
会计实操讲师,南昌同凯网络信息服务有限公司,150-500人,2020-12-31 13:34,北京,8k-16k,1-3年,本科,五险一金、年终奖金、三节福利
会计,武汉臻龙财务管理有限公司,150-500人,2020-12-25 17:20,武汉,4k-8k,不限,大专,人性化管理、晋升空间大
会计,广州市一网购投资有限公司,15-50人,2020-12-26 15:07,广州,5k-8k,3-5年,大专,带薪年假 绩效奖 全勤奖 通讯补贴 交通补贴
会计,成都金晨数通科技有限公司,15-50人,2020-12-24 17:05,成都,4k-8k,3-5年,大专,行业稳健 团队靠谱
财务会计,四川怡和祥烧坊酒业有限公司,15-50人,2020-12-26 8:55,成都,5k-7k,3-5年,本科,团队关系融洽，生日福利，行业发展前景好
全盘会计,深圳市迷你玩科技有限公司,150-500人,2020-12-31 15:28,深圳,10k-20k,5-10年,本科,领导好，年终奖，下午茶，扁平化管理
主办会计,上海艾麒信息科技股份有限公司,150-500人,2020-12-31 12:58,上海,15k-20k,5-10年,本科,带薪假、调薪、年终奖、旅游、保险、弹性工作
核算会计,深圳市梦网科技发展有限公司,500-2000人,2020-12-31 8:37,深圳,7k-9k,1-3年,本科,五险一金 上市公司 免费班车 绩效奖金
人事经理/会计/出纳/人事行政助理,深圳市前海硕极科技有限公司,50-150人,2020-12-31 16:44,深圳,6k-12k,在校/应届,大专,周末双休，五险一金
财务会计,特抱抱科技（杭州）有限公司,50-150人,2020-12-23 16:43,杭州,7k-14k,5-10年,本科,五险一金，大小周，定期体检，年度旅游
会计,广州珈智信息技术有限责任公司,150-500人,2020-12-6 9:17,广州,6k-7k,1-3年,本科,六险一金
财务会计,上海智襄网络科技有限公司,少于15人,2020-11-9 23:12,上海,5k-8k,不限,大专,老板nice 工作简单 福利待遇超级好
会计助理,陕西冠晨生物科技有限公司,150-500人,2020-12-25 9:06,北京,4k-6k,在校/应届,大专,双休
会计,揭阳市丰发农产品有限公司,少于15人,2020-12-18 9:22,揭阳,3k-6k,不限,大专,人性化管理
电商会计,揭阳市聚力共赢贸易有限公司,50-150人,2020-12-30 14:30,揭阳,4k-6k,1-3年,大专,晋升空间
会计,东莞市昆和鞋材化工贸易有限公司,15-50人,2020-8-2 0:30,东莞,4k-8k,3-5年,本科,有很好的发展前景，在越南，缅甸均由设厂
国际会计-合并报表方向,广州虎牙科技有限公司,2000人以上,2020-12-31 11:08,广州,15k-30k,3-5年,本科,平台大
海外费用会计,北京首都在线科技股份有限公司,150-500人,2020-12-31 11:06,北京,8k-12k,1-3年,本科,上市公司
会计主管,北京多来点信息技术有限公司,500-2000人,2020-12-29 9:42,北京,8k-10k,5-10年,本科,团队合作
总账会计,北京和谐长治园林工程有限公司,50-150人,2020-12-25 9:07,北京,6k-8k,1-3年,本科,稳定
亚马逊财务/电商会计/跨境会计,深圳市天雅纸业制品有限公司,50-150人,2020-12-30 9:47,深圳,6k-10k,1-3年,本科,活力团队 晋升空间大 包吃包住
财务会计,深圳瑞银信信息技术有限公司,2000人以上,2020-10-26 9:30,北京,6k-8k,不限,本科,"五险一金,年终奖,餐补,节日福利"
财务会计,北京艾普数智科技有限公司,15-50人,2020-12-22 19:12,北京,5k-10k,3-5年,大专,产业互联网创业团队，实现自我最大价值！
财务会计,广州富勤信息科技有限公司,15-50人,2020-12-27 10:54,广州,4k-5k,3-5年,大专,旅游新行业市场潜力大
总账会计,深圳艾美一族电子商务有限公司,50-150人,2020-12-8 9:45,深圳,6k-8k,3-5年,本科,五险一金、免费通勤车、晋升空间大
成本会计师,上海脉策数据科技有限公司,150-500人,2020-12-31 10:03,上海,10k-15k,3-5年,本科,"弹性工作,公司前景好"
成本会计(建筑),珠海市艺班园林生态工程有限公司,15-50人,2020-12-31 14:56,上海,6k-12k,3-5年,大专,待遇优厚，下午茶，小长假，节假日礼品红包
